open,high,low,close,volume,year,month,day
30074.23,32658.99,29730.4,31017.1,165532.00311,1970,1,1
40917.89,42325.02,40135.04,41757.51,45408.00969,1970,1,1
29874.01,30788.37,29450.38,30444.93,56724.13307,1970,1,1
16777.54,16863.26,16663.07,16738.21,112619.31646,1970,1,1
27124.9,27520.0,26631.78,27261.07,78602.44341,1970,1,1
38730.63,42594.06,38656.45,41941.71,67392.58799,1970,1,1
23342.66,23600.0,23111.04,23191.2,144185.97011,1970,1,1
29468.1,32222.0,29299.62,31734.22,96785.9476,1970,1,1
28629.81,29266.0,28450.0,29031.33,34479.35127,1970,1,1
19252.82,19647.63,18781.0,19315.83,51087.46631,1970,1,1
23296.36,23509.68,22850.0,23268.01,144210.16219,1970,1,1
37699.08,44225.84,37450.17,43160.0,73945.63858,1970,1,1
27906.34,28154.99,27859.02,27938.38,19479.96735,1970,1,1
17224.1,17360.0,17058.21,17128.56,238422.06465,1970,1,1
21400.75,21684.87,20890.14,21529.12,200967.77164,1970,1,1
41147.78,41500.0,39551.94,39942.38,36807.01401,1970,1,1
19164.37,19257.0,19112.72,19204.35,110403.90837,1970,1,1
19131.87,19268.09,18860.0,19060.0,243473.84286,1970,1,1
20037.6,20171.18,19520.0,19555.61,139307.95976,1970,1,1
17106.65,17424.25,16867.0,16966.35,233703.29225,1970,1,1
20677.47,21192.0,20659.19,21071.59,251385.84925,1970,1,1
23845.25,24442.66,23414.03,23773.75,198298.50623,1970,1,1
16885.2,17202.84,16878.25,17105.7,178619.13387,1970,1,1
22954.21,23402.0,22844.62,23174.39,88890.00877,1970,1,1
16617.17,16799.23,16548.7,16672.87,121888.57191,1970,1,1
19701.88,19890.0,19320.01,19803.3,283791.07064,1970,1,1
40680.92,41100.0,35440.45,36445.31,88860.891999,1970,1,1
20123.0,20179.08,18626.0,19942.21,93846.64806,1970,1,1
37728.95,40023.77,37670.0,39690.0,62574.61736,1970,1,1
17804.01,17854.82,17275.51,17356.34,223701.96882,1970,1,1
23856.15,24446.71,23180.4,23342.66,210668.68766,1970,1,1
23492.09,23600.0,23020.97,23141.57,264140.99894,1970,1,1
19078.1,19790.0,18471.28,19412.82,521385.45547,1970,1,1
42217.87,42760.0,41870.0,42053.66,17732.08113,1970,1,1
45497.54,45507.14,43121.0,43170.47,60849.32936,1970,1,1
39671.37,39887.61,38098.33,39280.33,46015.54926,1970,1,1
23184.04,23219.13,22722.0,23157.07,191311.8101,1970,1,1
48887.59,49576.13,48421.87,48588.16,27004.2022,1970,1,1
17127.49,17270.99,17071.0,17085.05,155286.47871,1970,1,1
16457.61,16600.0,16401.0,16428.78,162025.47607,1970,1,1
16699.43,16822.41,16553.53,16700.68,104963.15558,1970,1,1
30293.93,30670.51,28866.35,29109.15,63901.49932,1970,1,1
30086.74,31460.0,29480.0,31328.89,46275.66912,1970,1,1
29091.87,29440.41,28099.99,28424.7,65901.39895,1970,1,1
18846.62,20000.0,18714.12,19930.01,368615.87823,1970,1,1
20468.81,20792.06,17622.0,18970.79,196441.655524,1970,1,1
20362.21,20367.78,19549.09,20150.69,618456.4671,1970,1,1
50399.67,51280.0,49412.0,50775.49,22569.88914,1970,1,1
16607.48,16644.09,16470.0,16542.4,114490.42864,1970,1,1
47122.21,48096.47,46950.85,47434.8,36772.28457,1970,1,1
38420.8,39547.57,37155.0,37988.0,63994.11559,1970,1,1
35071.42,36499.0,34601.01,36244.55,44279.52354,1970,1,1
20079.02,21020.0,20050.41,20771.59,380492.69576,1970,1,1
31801.05,31982.97,29301.0,29805.83,103395.63382,1970,1,1
28348.6,29184.68,27686.0,28028.53,98865.43256,1970,1,1
19530.09,19627.38,19237.14,19417.96,102480.09842,1970,1,1
27800.0,28444.44,27662.79,28165.47,49722.55691,1970,1,1
19279.8,19467.39,18977.01,19252.81,46180.3021,1970,1,1
19416.52,19558.0,19316.04,19439.02,113900.82681,1970,1,1
23327.66,23433.33,22743.0,22932.91,209251.33917,1970,1,1
31017.11,32162.59,27785.0,29103.94,207063.739278,1970,1,1
17943.26,19117.04,17892.05,18846.62,454568.32178,1970,1,1
29103.94,30243.0,26700.0,29029.75,204507.263138,1970,1,1
22198.56,22287.0,21580.0,21705.44,301460.57272,1970,1,1
19412.82,19645.52,18843.01,19591.51,406424.93256,1970,1,1
39678.11,41116.73,38536.51,40801.13,54243.49575,1970,1,1
16739.0,16815.99,16256.3,16438.88,179094.28305,1970,1,1
41002.26,43361.0,40875.51,42364.13,59454.94294,1970,1,1
35472.4,35514.22,33713.95,34038.4,72445.64344,1970,1,1
23933.09,24456.5,23583.0,24403.68,174207.5704,1970,1,1
23465.32,23476.95,21971.13,22354.34,319954.19785,1970,1,1
42364.13,43025.96,41751.47,42882.76,40828.87039,1970,1,1
23009.65,23500.0,22534.88,23074.16,280833.86315,1970,1,1
40378.7,40595.67,39546.17,39678.12,19988.49259,1970,1,1
20400.6,21365.43,20246.66,20468.81,86694.33663,1970,1,1
20175.84,20675.22,19761.25,20564.51,82439.5808,1970,1,1
23191.45,23208.67,20783.57,20834.39,283995.87747,1970,1,1
19262.98,19676.96,19152.03,19549.86,222813.87634,1970,1,1
19439.96,19525.0,19020.25,19131.87,212509.09849,1970,1,1
16978.0,17105.73,16787.85,17092.74,202372.2062,1970,1,1
16831.85,17041.0,16679.0,16950.65,207401.28415,1970,1,1
20952.76,21050.74,20551.01,20871.5,178542.22549,1970,1,1
18809.13,19318.96,18680.72,19227.82,439239.21943,1970,1,1
41493.19,42199.0,40820.0,41358.19,40877.35041,1970,1,1
19375.58,19951.87,19070.37,19176.93,351634.32601,1970,1,1
21254.67,23112.63,21042.53,22952.45,210971.19796,1970,1,1
22762.52,23350.25,22745.78,23240.46,308006.72482,1970,1,1
22684.83,23000.77,21934.57,22451.07,122137.77375,1970,1,1
39441.61,39940.0,38929.62,39450.13,26703.61186,1970,1,1
22961.85,23011.39,21688.0,21796.35,402894.6955,1970,1,1
19422.61,19484.0,19159.42,19310.95,165625.13959,1970,1,1
22346.57,22662.09,22189.22,22430.24,154841.75786,1970,1,1
16919.39,16972.83,16592.37,16706.36,173749.58616,1970,1,1
